"ch"	"Twin"	"Year"	"DayBorn"	"DamID"
"0000000010101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	0	2016	-1.21083080071311	"M041601"
"0000000010101010101010101010101010101010101010101010101010101010101010101100000000000000000000000000000000000000000000000000"	0	2016	-1.21083080071311	"M041603"
"0000000010101010101010101010101010101010110000000000000000000000000000000000000000000000000000000000000000000000000000000000"	0	2016	-1.21083080071311	"M041604"
"0000000000000000000000000000101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2016	0.572638133458269	"M101008"
"0000000000000000000000000000101010101010101010101010101010101010101010101010101010101010110000000000000000000000000000000000"	1	2016	0.572638133458269	"M101008"
"0000000000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	1	2016	-0.140749440210281	"M101009"
"0000000000000000000010101010101010101010101011000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2016	-0.140749440210281	"M101009"
"0000000000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2016	1.28602570712682	"M101010"
"0000000000000000000000000000000000001010101010101010101010101010101010101010101011000000000000000000000000000000000000000000"	1	2016	1.28602570712682	"M101010"
"0000000000000000000010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010"	0	2016	-0.140749440210281	"M101102"
"0010101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2016	-1.74587148096452	"M101502"
"0010101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2016	-1.74587148096452	"M101502"
"0000000010101010101010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2016	-1.21083080071311	"M101521"
"0000000010101010101010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"	1	2016	-1.21083080071311	"M101521"
